Training cell_line=HUVEC in mode piq-only
Proper cross validation
F1: 0.03657, ROC_AUC: 0.69089
chr1	0.01951	0.64973
chr10	0.03175	0.76690
chr11	0.00000	0.67785
chr12	0.00000	0.72114
chr13	0.06667	0.60358
chr14	0.17647	0.76080
chr15	0.18605	0.66487
chr16	0.00000	0.66087
chr17	0.07619	0.62376
chr18	0.00000	0.75126
chr19	0.00000	0.68910
chr2	0.00000	0.80232
chr20	0.00000	0.57486
chr21	0.00000	0.79299
chr22	0.00000	0.69089
chr3	0.00000	0.71401
chr4	0.00000	0.64466
chr5	0.00000	0.66446
chr6	0.00000	0.73713
chr7	0.19355	0.83377
chr8	0.00000	0.67845
chr9	0.00000	0.55584
chrX	0.09091	0.63127
