Training cell_line=K562 in mode piq-only
Proper cross validation
F1: 0.00479, ROC_AUC: 0.64014
chr1	0.00000	0.67108
chr10	0.00000	0.74233
chr11	0.01550	0.64944
chr12	0.00000	0.64304
chr13	0.00000	0.39226
chr14	0.00000	0.59893
chr15	0.00000	0.64032
chr16	0.00000	0.66994
chr17	0.00000	0.59210
chr18	0.00000	0.59481
chr19	0.00000	0.70646
chr2	0.00000	0.68420
chr20	0.00000	0.70213
chr21	0.00000	0.48903
chr22	0.00000	0.63559
chr3	0.00000	0.65631
chr4	0.00000	0.63242
chr5	0.00000	0.64599
chr6	0.06311	0.74866
chr7	0.03150	0.68948
chr8	0.00000	0.72695
chr9	0.00000	0.58955
chrX	0.00000	0.62210
