Training cell_line=HUVEC in mode piq-no-window-only
Proper cross validation
F1: 0.05343, ROC_AUC: 0.62617
chr1	0.09396	0.60106
chr10	0.03636	0.75777
chr11	0.02597	0.63893
chr12	0.16393	0.68020
chr13	0.21429	0.72639
chr14	0.18182	0.66063
chr15	0.14493	0.68488
chr16	0.00000	0.58525
chr17	0.00000	0.60518
chr18	0.16216	0.46946
chr19	0.00000	0.54385
chr2	0.00000	0.76196
chr20	0.00000	0.52755
chr21	0.00000	0.76242
chr22	0.00000	0.34040
chr3	0.00000	0.55470
chr4	0.03571	0.53912
chr5	0.02326	0.65291
chr6	0.00000	0.59645
chr7	0.02151	0.79276
chr8	0.00000	0.66988
chr9	0.00000	0.60702
chrX	0.12500	0.64310
