Training cell_line=HUVEC in mode piq-window-only
Proper cross validation
F1: 0.02617, ROC_AUC: 0.73183
chr1	0.02899	0.70242
chr10	0.19672	0.88699
chr11	0.00000	0.76657
chr12	0.05405	0.74598
chr13	0.00000	0.82538
chr14	0.18519	0.61548
chr15	0.03077	0.69188
chr16	0.00000	0.55803
chr17	0.00000	0.69403
chr18	0.00000	0.62670
chr19	0.00000	0.81904
chr2	0.00000	0.82821
chr20	0.00000	0.60836
chr21	0.00000	0.88244
chr22	0.00000	0.65573
chr3	0.00000	0.69839
chr4	0.00000	0.83648
chr5	0.00000	0.70799
chr6	0.01538	0.78494
chr7	0.02174	0.70659
chr8	0.06897	0.76786
chr9	0.00000	0.69645
chrX	0.00000	0.72614
